application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
230,0,False,3.06,STEM,Hispanic,640.0,6.0,Nonprofit/Gov,0
231,1,True,3.01,Business,Unknown,610.0,6.0,Technology,0
232,1,False,3.34,Business,Asian,590.0,5.0,PE/VC,0
233,1,True,3.34,STEM,Unknown,680.0,8.0,Technology,0
234,1,True,3.33,STEM,Unknown,720.0,5.0,Nonprofit/Gov,1
235,1,False,3.4,STEM,Black,680.0,4.0,Other,0
236,1,False,3.02,STEM,Black,590.0,5.0,Consulting,0
237,1,False,3.49,Humanities,White,720.0,3.0,Consulting,0
238,1,False,3.45,Humanities,White,710.0,4.0,PE/VC,0
239,1,False,3.33,Humanities,White,660.0,5.0,Media/Entertainment,0
240,0,False,3.27,Humanities,Black,680.0,5.0,Health Care,0
241,0,False,3.15,Business,White,620.0,6.0,Technology,1
242,0,False,3.11,STEM,Asian,620.0,4.0,Financial Services,1
243,1,True,3.15,Humanities,Unknown,590.0,5.0,Investment Management,0
244,1,False,3.11,Business,Asian,600.0,7.0,PE/VC,0
245,1,False,3.17,Business,Asian,640.0,6.0,Other,0
246,0,False,3.02,STEM,Asian,570.0,5.0,Other,1
247,1,True,3.04,STEM,Unknown,630.0,5.0,Other,0
248,1,False,3.22,STEM,White,650.0,5.0,PE/VC,0
249,1,True,3.77,STEM,Unknown,780.0,5.0,Consulting,0
250,0,False,3.31,Business,Hispanic,590.0,5.0,Nonprofit/Gov,0
251,1,False,3.3,Humanities,Asian,660.0,4.0,Investment Banking,0
252,1,False,3.26,Humanities,White,690.0,4.0,Nonprofit/Gov,0
253,1,False,3.1,Humanities,White,570.0,5.0,Financial Services,0
254,0,False,3.61,Humanities,Black,740.0,6.0,Health Care,1
255,0,False,3.33,Business,Black,620.0,5.0,Consulting,0
256,1,True,3.28,Humanities,Unknown,750.0,3.0,Nonprofit/Gov,0
257,0,False,3.47,STEM,Black,730.0,4.0,Technology,0
258,1,True,3.27,Humanities,Unknown,640.0,4.0,Investment Banking,0
259,1,False,3.33,STEM,Black,670.0,3.0,Technology,0
260,0,False,3.28,Humanities,Black,650.0,5.0,PE/VC,0
261,1,True,3.32,Humanities,Unknown,750.0,4.0,Consulting,0
262,1,False,3.1,Business,Black,620.0,6.0,Consulting,0
263,1,False,3.21,Business,White,630.0,6.0,Investment Management,0
264,1,False,3.12,Humanities,Hispanic,620.0,4.0,PE/VC,0
265,1,True,3.05,Humanities,Unknown,600.0,5.0,Technology,0
266,1,False,3.31,Humanities,White,620.0,5.0,Nonprofit/Gov,0
267,1,False,3.28,STEM,White,600.0,5.0,Consulting,0
268,1,False,2.95,Humanities,Hispanic,600.0,5.0,Nonprofit/Gov,0
269,0,False,3.19,STEM,Hispanic,690.0,4.0,PE/VC,0
270,0,True,3.34,Humanities,Unknown,670.0,5.0,Nonprofit/Gov,1
271,0,True,3.34,Business,Unknown,620.0,4.0,Consulting,1
272,1,False,3.43,Humanities,Other,680.0,5.0,Other,0
273,0,False,3.23,Humanities,Other,670.0,6.0,Investment Banking,1
274,1,False,3.31,STEM,Asian,650.0,4.0,Investment Banking,0
275,1,True,3.3,STEM,Unknown,650.0,5.0,Technology,0
276,0,False,3.05,Humanities,Asian,630.0,5.0,Consulting,1
277,1,False,3.52,Humanities,White,770.0,3.0,Investment Banking,0
278,0,False,3.15,Business,Black,570.0,5.0,Financial Services,0
279,0,False,3.11,Business,Black,660.0,6.0,Technology,0
280,1,False,3.05,Business,Asian,610.0,5.0,PE/VC,0
281,1,True,3.04,Business,Unknown,570.0,5.0,PE/VC,0
282,1,False,3.3,Business,White,650.0,6.0,Technology,0
283,1,False,3.58,Business,White,740.0,4.0,Investment Banking,1
284,0,False,2.97,Humanities,Asian,590.0,4.0,Nonprofit/Gov,1
285,1,False,3.29,STEM,Black,630.0,5.0,PE/VC,0
286,0,False,3.49,Business,Asian,780.0,6.0,PE/VC,1
287,0,True,3.33,STEM,Unknown,640.0,7.0,Consulting,1
288,1,False,3.14,Business,Hispanic,580.0,2.0,PE/VC,0
289,1,False,3.42,STEM,Asian,750.0,3.0,Media/Entertainment,1
290,1,True,3.18,STEM,Unknown,600.0,4.0,Technology,0
291,1,False,2.98,Business,Asian,630.0,7.0,Nonprofit/Gov,0
292,0,True,2.99,Humanities,Unknown,630.0,6.0,Nonprofit/Gov,1
293,1,False,3.1,Business,White,600.0,7.0,Nonprofit/Gov,0
294,0,False,3.35,Business,Asian,670.0,5.0,Technology,1
295,1,False,2.95,Humanities,Asian,570.0,4.0,Consulting,0
296,1,False,3.16,Business,Asian,580.0,5.0,Consulting,0
297,0,True,3.34,Humanities,Unknown,570.0,5.0,Consulting,1
298,1,False,3.14,Business,Black,660.0,5.0,Financial Services,0
299,1,False,3.1,STEM,Asian,630.0,4.0,PE/VC,0
300,1,False,3.21,Humanities,White,660.0,3.0,Nonprofit/Gov,0
301,1,False,3.37,Business,Hispanic,690.0,5.0,Nonprofit/Gov,0
302,1,False,3.36,Business,Asian,720.0,4.0,Technology,1
303,1,False,3.2,Humanities,Hispanic,650.0,6.0,Technology,0
304,0,False,3.15,Business,Black,620.0,6.0,Consulting,0
305,1,False,3.53,STEM,Asian,660.0,5.0,Investment Banking,1
306,0,False,3.24,Humanities,Hispanic,660.0,6.0,Consulting,0
307,0,False,3.25,Humanities,Asian,710.0,6.0,Technology,1
308,0,False,3.34,Humanities,Asian,760.0,4.0,PE/VC,1
309,1,False,3.16,STEM,Asian,650.0,5.0,Health Care,0
310,1,False,3.4,STEM,White,630.0,5.0,Investment Banking,0
311,1,False,3.49,Business,Other,700.0,5.0,Investment Management,1
312,1,False,3.17,Humanities,Hispanic,670.0,2.0,Investment Banking,0
313,1,False,3.3,Business,White,650.0,4.0,PE/VC,0
314,0,False,3.25,Humanities,Asian,580.0,5.0,Consulting,1
315,1,False,3.33,Business,White,580.0,5.0,Consulting,0
316,0,False,3.29,Humanities,Asian,700.0,4.0,Investment Management,1
317,1,False,3.32,Humanities,White,700.0,6.0,PE/VC,0
318,0,True,3.33,STEM,Unknown,680.0,4.0,Health Care,1
319,0,False,3.32,Humanities,White,630.0,5.0,Consulting,1
320,1,False,3.03,Humanities,Asian,590.0,4.0,Consulting,0
321,1,False,3.44,Business,Black,650.0,6.0,Investment Banking,0
322,0,True,3.24,STEM,Unknown,610.0,5.0,Other,1
323,0,False,3.36,Humanities,Black,650.0,6.0,Technology,0
324,0,True,3.14,Humanities,Unknown,580.0,5.0,Nonprofit/Gov,1
325,1,False,3.2,STEM,Asian,710.0,4.0,Other,0
326,1,False,3.1,Humanities,Hispanic,570.0,5.0,Health Care,0
327,1,False,3.37,Humanities,White,660.0,4.0,Consulting,0
328,1,True,3.31,Humanities,Unknown,610.0,6.0,Technology,0
329,1,False,3.34,STEM,White,750.0,6.0,Other,0
330,1,False,3.38,Business,Asian,570.0,4.0,Other,0
331,0,False,3.32,Humanities,Hispanic,600.0,5.0,Financial Services,0
332,1,True,3.33,Business,Unknown,670.0,5.0,Consulting,1
333,1,False,3.23,STEM,White,600.0,5.0,Other,0
334,1,True,3.06,STEM,Unknown,630.0,5.0,Financial Services,0
335,1,True,3.01,Business,Unknown,570.0,7.0,Real Estate,0
336,0,False,3.21,Humanities,White,700.0,6.0,PE/VC,1
337,1,False,3.5,Humanities,Asian,670.0,5.0,Nonprofit/Gov,0
338,0,True,3.29,Humanities,Unknown,690.0,4.0,Financial Services,1
339,1,True,3.2,Business,Unknown,650.0,5.0,Consulting,0
340,1,True,3.11,Humanities,Unknown,600.0,5.0,Consulting,0
341,0,False,3.1,Business,Other,620.0,6.0,Real Estate,1
342,1,False,3.39,Business,White,730.0,6.0,Investment Banking,0
343,1,True,3.28,Business,Unknown,660.0,4.0,Technology,0
344,0,False,3.18,STEM,White,590.0,6.0,Nonprofit/Gov,1
345,0,False,2.96,Humanities,White,580.0,7.0,Financial Services,1
346,1,True,3.58,STEM,Unknown,710.0,5.0,Investment Banking,1
347,0,False,3.35,STEM,White,700.0,5.0,Technology,1
348,1,False,3.16,STEM,Black,650.0,5.0,Technology,0
349,1,False,3.1,STEM,White,620.0,4.0,Other,0
350,1,False,3.17,STEM,Hispanic,700.0,5.0,Consulting,0
351,1,False,3.2,Business,Asian,690.0,5.0,Consulting,0
352,0,True,3.09,Humanities,Unknown,660.0,6.0,Financial Services,1
353,0,False,3.47,Humanities,White,760.0,4.0,Technology,1
354,1,False,3.24,STEM,White,630.0,6.0,Consulting,0
355,1,False,3.28,STEM,Black,720.0,5.0,PE/VC,1
356,1,False,3.37,STEM,White,690.0,5.0,Consulting,1
357,0,True,3.31,Humanities,Unknown,630.0,6.0,Nonprofit/Gov,1
358,0,True,3.03,Humanities,Unknown,660.0,5.0,Consulting,1
359,1,True,3.05,Humanities,Unknown,580.0,3.0,Consulting,0
360,1,False,3.06,Humanities,Asian,600.0,5.0,PE/VC,0
361,1,False,3.41,Humanities,Black,620.0,4.0,Consulting,0
362,1,True,3.46,Humanities,Unknown,650.0,7.0,Health Care,0
363,1,False,3.16,STEM,Black,620.0,5.0,Consulting,0
364,1,False,3.06,Business,Other,630.0,5.0,Other,0
365,0,False,3.42,Humanities,White,700.0,6.0,Consulting,1
366,0,False,3.27,Business,White,660.0,4.0,Consulting,1
367,1,True,3.08,STEM,Unknown,580.0,6.0,PE/VC,0
368,1,False,3.27,Humanities,Black,690.0,6.0,Other,0
369,1,False,3.22,Business,Asian,580.0,5.0,Investment Banking,0
370,0,False,3.16,Humanities,White,620.0,5.0,Technology,1
371,1,True,3.39,STEM,Unknown,710.0,6.0,Investment Banking,0
372,1,False,3.22,STEM,White,570.0,6.0,Other,0
373,0,False,3.12,Business,Hispanic,570.0,4.0,PE/VC,0
374,0,True,3.21,STEM,Unknown,600.0,4.0,Consulting,1
375,0,False,3.01,Humanities,Black,660.0,8.0,Technology,0
376,0,False,3.47,Business,Black,640.0,6.0,PE/VC,0
377,0,True,3.18,Business,Unknown,690.0,3.0,Financial Services,1
378,1,True,3.38,Humanities,Unknown,680.0,7.0,CPG,0
379,0,False,3.11,STEM,Other,610.0,6.0,PE/VC,1
380,1,True,3.08,Humanities,Unknown,620.0,6.0,Technology,0
381,0,False,3.26,STEM,White,650.0,6.0,Consulting,1
382,1,False,3.21,Business,Asian,630.0,4.0,Consulting,0
383,0,False,3.1,Business,Asian,610.0,5.0,Nonprofit/Gov,1
384,1,True,3.17,Business,Unknown,580.0,6.0,Consulting,0
385,1,False,3.43,Humanities,Hispanic,660.0,4.0,CPG,1
386,0,False,3.31,STEM,White,620.0,5.0,Investment Banking,1
387,0,False,3.03,Humanities,Asian,590.0,5.0,Consulting,1
388,0,True,3.08,STEM,Unknown,630.0,5.0,Health Care,1
389,0,False,3.18,Humanities,Hispanic,620.0,6.0,Investment Management,0
390,1,False,3.47,Business,White,690.0,6.0,Other,0
391,1,False,3.42,Business,Asian,720.0,3.0,Consulting,0
392,0,False,3.34,Business,White,680.0,4.0,Financial Services,1
393,1,True,3.37,Business,Unknown,680.0,5.0,Health Care,0
394,0,False,3.49,Humanities,White,690.0,5.0,Financial Services,1
395,1,True,3.32,STEM,Unknown,580.0,5.0,Real Estate,0
396,1,False,3.3,Humanities,Other,620.0,5.0,CPG,0
397,1,False,3.38,Humanities,White,680.0,4.0,Financial Services,0
398,1,False,3.18,STEM,White,590.0,4.0,PE/VC,0
399,0,False,3.28,STEM,Hispanic,630.0,5.0,Other,0
400,1,False,3.24,Humanities,White,600.0,3.0,PE/VC,0
401,1,False,3.15,Humanities,Black,610.0,6.0,Consulting,0
402,1,False,3.16,STEM,Black,600.0,6.0,PE/VC,0
403,1,True,3.22,Humanities,Unknown,640.0,5.0,Other,0
404,0,False,3.35,Business,White,620.0,6.0,Consulting,1
405,0,False,3.36,Business,White,620.0,4.0,PE/VC,1
406,0,False,3.06,Business,White,580.0,5.0,Investment Banking,1
407,1,False,3.17,STEM,Black,660.0,5.0,Investment Banking,0
408,0,False,3.06,Business,White,610.0,6.0,Nonprofit/Gov,1
409,1,True,3.39,Humanities,Unknown,670.0,7.0,Investment Banking,0
410,1,False,3.44,Business,Asian,600.0,5.0,Health Care,0
411,1,False,3.14,Humanities,Asian,640.0,5.0,Consulting,0
412,0,False,3.29,Business,White,600.0,5.0,Consulting,1
413,0,False,3.18,Humanities,Asian,630.0,4.0,PE/VC,1
414,1,False,3.52,Business,Asian,730.0,6.0,PE/VC,0
415,1,True,3.31,Humanities,Unknown,630.0,5.0,Financial Services,0
417,1,False,3.26,STEM,White,650.0,5.0,Consulting,0
419,1,False,3.07,Business,White,570.0,4.0,Consulting,0
